series_id,window_size,n_windows,series_length,ARIMA_mae,ARIMA_rmse,ARIMA_valid_predictions,Prophet_mae,Prophet_rmse,Prophet_valid_predictions,Linear_mae,Linear_rmse,Linear_valid_predictions,XGBoost_mae,XGBoost_rmse,XGBoost_valid_predictions,dataset,dataset_name,dataset_type,evaluation_type,LSTM_mae,LSTM_rmse,LSTM_valid_predictions,Transformer_mae,Transformer_rmse,Transformer_valid_predictions,LargeTransformer_mae,LargeTransformer_rmse,LargeTransformer_valid_predictions,DecoderOnly_mae,DecoderOnly_rmse,DecoderOnly_valid_predictions
trend_seasonal_0,53,20,160,1.3386308538809453,1.5993968851847984,20.0,3.8514689415313677,4.330742528511272,20.0,4.0277421298307035,4.529801233564316,20.0,1.7753219881626847,2.185544456499669,20.0,trend_seasonal,Synthetic - Trend + Seasonal,synthetic,traditional,,,,,,,,,,,,
trend_seasonal_1,53,20,160,2.0136404370255816,2.286374626525082,20.0,3.5387853427075853,4.217965413148268,20.0,3.9647927000180423,4.493087803692579,20.0,1.8306570658285886,2.1656781500918973,20.0,trend_seasonal,Synthetic - Trend + Seasonal,synthetic,traditional,,,,,,,,,,,,
trend_seasonal_2,53,20,160,1.5803040782354572,2.0597708058560413,20.0,3.9225089873712413,4.577038937291028,20.0,4.09588872888847,4.604710885172622,20.0,1.5791476328960037,2.0429288238227685,20.0,trend_seasonal,Synthetic - Trend + Seasonal,synthetic,traditional,,,,,,,,,,,,
trend_seasonal_3,53,20,160,1.791923353165739,2.071944656657142,20.0,3.405278016975737,4.285040397134236,20.0,3.7326930148530217,4.443758048398591,20.0,1.6547316998840345,2.044839414148722,20.0,trend_seasonal,Synthetic - Trend + Seasonal,synthetic,traditional,,,,,,,,,,,,
trend_seasonal_4,53,20,160,1.5298883992529853,1.9990159561091765,20.0,3.8557856923531353,4.449018209010128,20.0,3.9145802229331226,4.636541518321562,20.0,1.8932789575191138,2.279202099168895,20.0,trend_seasonal,Synthetic - Trend + Seasonal,synthetic,traditional,,,,,,,,,,,,
trend_seasonal_0,53,10,160,,,,,,,,,,,,,trend_seasonal,Synthetic - Trend + Seasonal,synthetic,neural,1.4652866610676383,1.8380832578546338,10.0,0.961002708316299,1.1827135321818378,10.0,1.9625241683956929,2.4327331863619173,10.0,1.6278224809300768,1.8168495991142068,10.0
trend_seasonal_1,53,10,160,,,,,,,,,,,,,trend_seasonal,Synthetic - Trend + Seasonal,synthetic,neural,1.655859648039153,2.2475882937135254,10.0,1.410297587728175,1.65667128148539,10.0,1.529918512691563,1.8013714640660317,10.0,1.4314212724260487,1.690156267233607,10.0
trend_seasonal_2,53,10,160,,,,,,,,,,,,,trend_seasonal,Synthetic - Trend + Seasonal,synthetic,neural,1.332997738623196,1.7851183258020409,10.0,1.1440258181488985,1.6910689340743081,10.0,0.9588793696744787,1.356598380390365,10.0,0.9966844427447427,1.5273895827258468,10.0
multi_seasonal_0,80,20,240,0.8755006539343725,1.0413439997172393,20.0,1.8527327829140567,2.299195954801874,20.0,2.08917823367874,2.589163486110034,20.0,1.069718780909613,1.3003520816100351,20.0,multi_seasonal,Synthetic - Multi-Seasonal,synthetic,traditional,,,,,,,,,,,,
multi_seasonal_1,80,20,240,0.8655287700817066,1.1264090158055275,20.0,2.2444759838694437,2.5531517073149868,20.0,2.3445547458362452,2.8508582467517516,20.0,1.0322251407006777,1.363948131669227,20.0,multi_seasonal,Synthetic - Multi-Seasonal,synthetic,traditional,,,,,,,,,,,,
